,Date,Brand Alias,Ad group alias,ASIN/SKU Alias,Marketplace,Impressions,Clicks,Spend,Sales,Orders,Units,Advertised Units sold,Other SKU units sold,Advertised SKU Sales,Other SKU sales
0,2021-10-17,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,33,0,0.0,0.0,0,0,0,0,0.0,0.0
1,2021-10-17,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
2,2021-10-17,Brand 1,Brand 1 Ad Group 11,ASIN389,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
3,2021-10-17,Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,380,8,2.34,0.0,0,0,0,0,0.0,0.0
4,2021-10-17,Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,3805,7,6.68,0.0,0,0,0,0,0.0,0.0
5,2021-10-17,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,71,0,0.0,0.0,0,0,0,0,0.0,0.0
6,2021-10-17,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,552,2,0.46,0.0,0,0,0,0,0.0,0.0
7,2021-10-17,Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
8,2021-10-17,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,4638,34,11.51,224.96,4,4,3,1,164.97,59.99
9,2021-10-17,Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,6497,90,49.36,885.34,15,15,9,6,539.91,345.43
10,2021-10-17,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
11,2021-10-17,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,5341,21,3.16,54.99,1,1,0,1,0.0,54.99
12,2021-10-17,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,7284,36,6.32,0.0,0,0,0,0,0.0,0.0
13,2021-10-17,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,17,1,0.65,49.98,1,2,2,0,49.98,0.0
14,2021-10-17,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,291,6,1.5,0.0,0,0,0,0,0.0,0.0
15,2021-10-17,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,103,1,0.17,0.0,0,0,0,0,0.0,0.0
16,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,9893,50,36.49,861.79,10,11,4,7,375.96,485.83
17,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,8808,39,29.72,523.12,7,8,2,6,169.98,353.14
18,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,7132,24,17.46,307.97,3,3,1,2,266.99,40.98
19,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,23399,75,49.32,385.88,7,8,6,2,243.9,141.98
20,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,49869,93,96.73,825.91,9,9,5,4,419.95,405.96
21,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,4624,14,13.6,252.99,1,1,0,1,0.0,252.99
22,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,5232,10,7.28,254.98,2,2,1,1,157.99,96.99
23,2021-10-17,Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
24,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
25,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
26,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,23319,69,53.46,468.93,4,7,1,6,109.99,358.94
27,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,3308,7,4.38,0.0,0,0,0,0,0.0,0.0
28,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,8786,19,15.52,79.99,1,1,0,1,0.0,79.99
29,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,35103,53,39.16,159.57,1,1,0,1,0.0,159.57
30,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN501,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
31,2021-10-17,Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,1297,2,1.12,0.0,0,0,0,0,0.0,0.0
32,2021-10-17,Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,31939,118,109.91,830.01,10,10,5,5,444.95,385.06
33,2021-10-17,Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,1588,3,3.06,0.0,0,0,0,0,0.0,0.0
34,2021-10-17,Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,15543,18,9.43,52.99,1,1,1,0,52.99,0.0
35,2021-10-17,Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,1119,2,2.06,0.0,0,0,0,0,0.0,0.0
36,2021-10-18,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,30,1,0.26,0.0,0,0,0,0,0.0,0.0
37,2021-10-18,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
38,2021-10-18,Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
39,2021-10-18,Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,321,3,0.59,0.0,0,0,0,0,0.0,0.0
40,2021-10-18,Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,2385,1,0.44,0.0,0,0,0,0,0.0,0.0
41,2021-10-18,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,535,1,0.22,0.0,0,0,0,0,0.0,0.0
42,2021-10-18,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,444,4,1.22,0.0,0,0,0,0,0.0,0.0
43,2021-10-18,Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
44,2021-10-18,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,3857,46,19.5,274.95,5,5,3,2,164.97,109.98
45,2021-10-18,Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,3006,38,20.94,69.99,1,1,0,1,0.0,69.99
46,2021-10-18,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
47,2021-10-18,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,4049,25,3.7,32.99,1,1,1,0,32.99,0.0
48,2021-10-18,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,11057,47,7.79,94.98,2,2,1,1,54.99,39.99
49,2021-10-18,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,13,3,1.52,0.0,0,0,0,0,0.0,0.0
50,2021-10-18,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,438,6,1.3,69.98,2,2,2,0,69.98,0.0
51,2021-10-18,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,115,7,1.9,0.0,0,0,0,0,0.0,0.0
52,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,11410,79,68.84,,18,20,10,10,939.9,450.5
53,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,7333,24,16.08,157.27,3,3,0,3,0.0,157.27
54,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,4004,4,2.7,0.0,0,0,0,0,0.0,0.0
55,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,1528,3,1.26,0.0,0,0,0,0,0.0,0.0
56,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
57,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,18824,38,33.85,352.98,2,2,1,1,258.99,93.99
58,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
59,2021-10-18,Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
60,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,130520,476,367.03,598.13,6,7,2,5,235.98,362.15
61,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
62,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,23533,88,70.6,304.97,3,3,0,3,0.0,304.97
63,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,37920,105,85.14,638.94,5,6,2,4,233.98,404.96
64,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1014,3,2.65,0.0,0,0,0,0,0.0,0.0
65,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,38371,81,64.79,467.96,4,4,2,2,379.98,87.98
66,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN501,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
67,2021-10-18,Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
68,2021-10-18,Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,8924,27,16.92,319.98,2,2,0,2,0.0,319.98
69,2021-10-18,Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,11616,28,17.23,329.95,5,5,1,4,76.99,252.96
70,2021-10-18,Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,17149,30,19.08,100.99,1,1,0,1,0.0,100.99
71,2021-10-18,Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,9067,6,4.12,247.58,2,2,0,2,0.0,247.58
72,2021-10-19,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,63,2,0.86,0.0,0,0,0,0,0.0,0.0
73,2021-10-19,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,178712,793,640.8,,53,53,30,23,,
74,2021-10-19,Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,5926,74,17.95,592.85,13,15,12,3,460.88,131.97
75,2021-10-19,Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,580,0,0.0,0.0,0,0,0,0,0.0,0.0
76,2021-10-19,Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,1380,3,1.04,47.99,1,1,1,0,47.99,0.0
77,2021-10-19,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,738,2,0.53,0.0,0,0,0,0,0.0,0.0
78,2021-10-19,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
79,2021-10-19,Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
80,2021-10-19,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,3907,48,15.54,159.97,3,3,1,2,54.99,104.98
81,2021-10-19,Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
82,2021-10-19,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
83,2021-10-19,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,6478,28,4.13,0.0,0,0,0,0,0.0,0.0
84,2021-10-19,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,25638,76,12.67,203.87,2,2,0,2,0.0,203.87
85,2021-10-19,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,22,4,1.5,43.98,2,2,2,0,43.98,0.0
86,2021-10-19,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,748,9,1.97,127.97,3,3,1,2,34.99,92.98
87,2021-10-19,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,85,4,1.27,180.96,4,4,3,1,110.97,69.99
88,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,13674,111,93.4,,17,20,7,13,657.93,649.11
89,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,13848,37,26.38,404.95,5,5,4,1,339.96,64.99
90,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,18608,38,32.68,,6,6,2,4,481.98,528.47
91,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
92,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
93,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN463,Walmart,5649,6,4.5,0.0,0,0,0,0,0.0,0.0
94,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
95,2021-10-19,Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,2434,9,5.27,57.98,1,2,2,0,57.98,0.0
96,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN476,Walmart,59410,185,159.05,589.95,3,5,5,0,589.95,0.0
97,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
98,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,40953,99,74.88,865.93,7,7,1,6,109.99,755.94
99,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,33932,107,75.05,275.94,1,2,0,2,0.0,275.94
100,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1409,5,3.7,0.0,0,0,0,0,0.0,0.0
101,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,73189,134,93.97,411.98,2,2,0,2,0.0,411.98
102,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,3008,9,6.98,0.0,0,0,0,0,0.0,0.0
103,2021-10-19,Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
104,2021-10-19,Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,24558,84,50.59,814.53,9,9,6,3,533.94,280.59
