date,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent
2021-05-01,1710.83,245.65,0.0,0.0,43.39
2021-05-02,3683.87,351.04,0.0,0.0,43.83
2021-05-03,8531.04,912.41,0.0,0.0,43.86
2021-05-04,7677.34,724.57,0.0,0.0,43.54
2021-05-05,6387.9,676.09,0.0,0.0,43.51
2021-05-06,5311.42,572.26,0.0,0.0,42.51
2021-05-07,3434.05,383.43,0.0,0.0,43.05
2021-05-08,2227.26,250.96,0.0,0.0,44.6
2021-05-09,2857.6,295.04,0.0,0.0,44.01
2021-05-10,7931.79,691.07,0.0,0.0,42.23
2021-05-11,8248.31,625.68,0.0,0.0,43.29
2021-05-12,6358.54,543.49,0.0,0.0,43.57
2021-05-13,5224.73,771.8,0.0,0.0,42.76
2021-05-14,3791.62,279.99,0.0,0.0,43.45
2021-05-15,2003.46,270.17,0.0,0.0,45.56
2021-05-16,3880.62,269.67,0.0,0.0,43.89
2021-05-17,7126.09,304.37,0.0,0.0,42.82
2021-05-18,7800.73,274.45,0.0,0.0,42.66
2021-05-19,6719.86,246.35,0.0,0.0,42.46
2021-05-20,5035.2,222.03,0.0,26.44,77.32
2021-05-21,3082.65,148.91,0.0,32.88,78.71
2021-05-22,1631.54,234.24,0.0,51.05,110.36
2021-05-23,2296.31,282.58,0.0,44.62,100.81
2021-05-24,6635.84,466.42,0.0,41.94,83.83
2021-05-25,6602.19,399.83,0.0,30.25,47.28
2021-05-26,5260.06,395.75,0.0,24.12,39.15
2021-05-27,5268.55,523.6,0.0,35.07,79.31
2021-05-28,3797.2,276.01,0.0,59.37,105.9
2021-05-29,1610.59,259.98,0.0,63.98,106.28
2021-05-30,2489.93,267.77,0.0,48.71,72.18
2021-05-31,8191.27,750.32,0.0,65.08,89.76
2021-06-01,5594.59,504.18,0.0,60.29,90.2
2021-06-02,3273.59,567.1,0.0,66.72,104.7
2021-06-03,6769.56,534.31,0.0,70.37,98.15
2021-06-04,5400.94,582.42,0.0,79.07,104.18
2021-06-05,2143.09,462.22,0.0,82.61,93.15
2021-06-06,3810.04,582.9,0.0,60.31,77.13
2021-06-07,7127.07,606.55,0.0,101.18,135.47
2021-06-08,5901.4,164.4,0.0,81.47,117.05
2021-06-09,5496.93,218.47,0.0,112.46,118.72
2021-06-10,4833.02,182.42,0.0,124.14,117.22
2021-06-11,2736.77,103.54,0.0,94.74,104.94
2021-06-12,1832.07,515.06,0.0,83.68,98.24
2021-06-13,3108.91,395.55,0.0,74.55,97.69
2021-06-14,6200.66,362.56,0.0,78.88,101.38
2021-06-15,6358.25,309.12,0.0,41.57,71.15
2021-06-16,5523.72,310.23,0.0,23.65,59.81
2021-06-17,4075.17,242.91,0.0,23.91,58.86
2021-06-18,3190.81,230.77,0.0,22.13,57.74
2021-06-19,1607.29,230.15,0.0,24.84,59.69
2021-06-20,3017.02,229.66,0.0,23.32,59.14
2021-06-21,6583.68,241.45,0.0,26.51,61.69
2021-06-22,5802.83,240.17,0.0,26.48,61.41
2021-06-23,5474.51,231.63,0.0,26.5,59.66
2021-06-24,3807.75,230.02,0.0,23.87,58.01
2021-06-25,2892.49,227.19,0.0,16.29,53.79
2021-06-26,1737.1,225.78,0.0,22.04,60.12
2021-06-27,2385.43,223.9,0.0,22.55,58.62
2021-06-28,19620.76,225.49,0.0,19.14,53.76
2021-06-29,17274.83,222.77,0.0,22.67,60.63
2021-06-30,5361.66,218.34,0.0,20.37,59.39
2021-07-01,5643.68,233.6,0.0,17.52,58.0
2021-07-02,3090.39,228.51,0.0,15.61,58.36
2021-07-03,1874.72,226.6,0.0,14.22,61.77
2021-07-04,2855.95,228.19,0.0,16.85,58.05
2021-07-05,5862.57,226.74,0.0,31.11,102.32
2021-07-06,5517.47,264.95,0.0,21.25,61.57
2021-07-07,4944.32,265.57,0.0,24.38,65.42
2021-07-08,4976.24,262.6,0.0,20.59,57.16
2021-07-09,2791.55,236.37,0.0,10.27,40.19
2021-07-10,1467.34,210.19,48.77,11.0,36.66
2021-07-11,2056.06,171.21,56.34,11.84,41.48
2021-07-12,6019.36,260.86,94.91,23.21,64.03
2021-07-13,5450.72,219.52,41.51,27.31,77.6
2021-07-14,5766.5,198.96,79.17,22.47,77.07
2021-07-15,4547.46,194.06,88.36,29.33,76.59
2021-07-16,2674.17,148.47,69.06,26.23,71.8
2021-07-17,1388.92,117.8,64.15,23.14,57.91
2021-07-18,2592.14,157.05,103.3,23.21,61.41
2021-07-19,6557.72,387.93,138.37,20.36,61.28
2021-07-20,5493.61,310.67,83.99,21.9,60.68
2021-07-21,4960.18,301.7,79.98,21.5,59.24
2021-07-22,4082.07,289.23,107.3,23.36,57.62
2021-07-23,2827.71,186.54,54.07,23.84,58.84
2021-07-24,2192.61,220.12,70.94,25.84,62.27
2021-07-25,2415.48,219.63,129.26,24.04,58.74
2021-07-26,6390.97,272.34,105.16,26.12,60.24
2021-07-27,5805.67,233.6,98.9,27.81,60.64
2021-07-28,5260.29,225.42,77.79,26.58,59.68
